0,reaction_time,key,word,freq,id
0,0.8668447999516502,a,lijsters,LF,3
1,0.3395490000257268,a,entel,none,3
2,0.3628467000089586,l,women,none,3
3,0.2682973999762907,a,nergen,none,3
4,0.2476450999965891,a,barse,LF,3
5,0.2433762999717146,l,bezig,HF,3
6,0.3060414000647142,a,pruit,none,3
7,0.2652271999977529,a,stiraal,none,3
8,0.2409284999594092,l,puien,LF,3
9,0.3083305000327527,l,plin,none,3
10,0.328004700015299,a,doppel,none,3
11,0.2194219999946653,l,fankel,none,3
12,0.3557237000204623,a,vroel,none,3
13,0.3673957000719383,l,deun,LF,3
14,0.390659200027585,a,ant,none,3
15,0.5308889000443742,a,hield,HF,3
16,0.4200013999361545,l,metrum,LF,3
17,0.6067879000911489,l,trorg,none,3
18,0.5753419999964535,a,zuun,none,3
19,0.5927045000717044,l,bonkte,LF,3
20,0.4707331999670714,a,glijp,none,3
21,0.1712385000428185,a,klaam,none,3
22,0.4737779999850318,l,help,HF,3
23,0.7174708999227732,l,kwarp,none,3
24,0.499874500092119,l,hormen,none,3
25,0.4475832999451086,a,ging,HF,3
26,0.565864700009115,a,plaats,HF,3
27,0.7430163999088109,l,pectars,none,3
28,0.6781276999972761,l,gardien,none,3
29,0.4964891000417992,l,gesmalpt,none,3
30,0.5273752000648528,l,sfinxen,LF,3
31,0.5006291999015957,l,oker,LF,3
32,0.6833632999332622,l,kumus,none,3
33,0.4824679000303149,a,giep,none,3
34,0.5637558000162244,a,rogge,LF,3
35,0.5771674999268726,a,lanen,LF,3
36,0.515148299979046,a,wakker,HF,3
37,0.6851660000393167,a,lome,LF,3
38,0.7433862000470981,l,leumen,none,3
39,0.5874446000671014,a,buidels,LF,3
40,0.5021690001012757,a,idee,HF,3
41,0.8518145000562072,l,udel,none,3
42,0.630786000052467,l,ploe,none,3
43,0.5601201000390574,a,moeder,HF,3
44,0.5518920000176877,a,wachten,HF,3
45,0.6658491000998765,a,zeg,HF,3
46,1.0258688000030816,a,wrongel,LF,3
47,0.5919355000369251,l,rokan,none,3
48,0.6925167000154033,a,reden,HF,3
49,0.5718805999495089,l,verke,none,3
