0,reaction_time,key,word,freq,id
0,1.0145490999566391,l,breent,none,2
1,0.8923520999960601,a,werd,HF,2
2,0.8816754999570549,a,schoffels,LF,2
3,0.6546816000482067,l,vraag,HF,2
4,0.7160533999558538,a,nammer,none,2
5,0.8836557000176981,l,rafel,LF,2
6,0.5583448000252247,a,soort,HF,2
7,0.6171321000438184,a,zolders,LF,2
8,0.7707601001020521,l,kandola,none,2
9,0.670381199917756,a,wakker,HF,2
10,0.6469180999556556,l,lome,LF,2
11,0.5397747000679374,a,open,HF,2
12,0.5275188999949023,l,jugen,none,2
13,0.7568971000146121,l,topaas,LF,2
14,0.5081711000530049,a,idee,HF,2
15,0.6084205000661314,l,grantel,none,2
16,0.679619999951683,l,darboen,none,2
17,0.6271196999587119,l,gevels,LF,2
18,1.1398208000464365,l,labber,none,2
19,0.7492775999708101,l,groeken,none,2
20,0.5997693999670446,a,uur,HF,2
21,0.5917816000292078,a,venkel,LF,2
22,0.7297971999505535,l,barse,LF,2
23,0.5378163999412209,a,morgen,HF,2
24,0.8576653000200167,a,bonkte,LF,2
25,0.7435244999360293,l,plirken,none,2
26,0.8902665000641719,a,dacht,HF,2
27,0.7144452999345958,a,plan,HF,2
28,0.5665477000875399,a,nergen,none,2
29,0.3854009999195114,l,hese,LF,2
30,0.3737788000144064,a,spurt,LF,2
31,0.465112300007604,l,jaat,none,2
32,0.4187643999466672,l,vroel,none,2
33,0.5676792000886053,l,nef,none,2
34,0.5211281999945641,a,bezig,HF,2
35,0.827810600050725,a,rogge,LF,2
36,1.0466157000046223,l,prookt,none,2
37,0.8437721999362111,a,gisten,LF,2
38,0.6828044999856502,a,had,HF,2
39,0.6230066000716761,l,glijp,none,2
40,0.5702616000780836,a,juffen,LF,2
41,0.5387310999212787,a,beitels,LF,2
42,0.7030838000355288,l,udel,none,2
43,0.607675899984315,a,ambten,LF,2
44,0.4959919999819249,a,vlump,none,2
45,0.7142442000331357,a,kuukt,none,2
46,0.4121914999559521,a,ogen,HF,2
47,0.6168744000606239,a,snoen,none,2
48,0.4229347000364214,l,wist,HF,2
49,0.3544618999585509,a,spodiel,none,2
50,0.4930943000363186,a,kadders,none,2
51,0.4223592000780627,a,schuiten,LF,2
52,0.3854279000079259,a,dood,HF,2
53,0.638232700061053,l,glaf,none,2
