0,reaction_time,key,word,freq,id
0,0.4676164999837056,a,baby,HF,4
1,0.4256468000821769,a,polders,LF,4
2,0.5973283000057563,l,plirken,none,4
3,0.5587767999386415,l,gimmel,none,4
4,0.6611939000431448,a,snert,LF,4
5,0.4555515000829473,a,rogge,LF,4
6,0.6185383000411093,a,plaats,HF,4
7,0.5590487000299618,a,auto,HF,4
8,0.439239599974826,a,vroeg,HF,4
9,0.4632537000579759,a,moeder,HF,4
10,0.6607323000207543,l,oker,LF,4
11,0.3936920000705868,a,nammer,none,4
12,0.3203421999933198,a,pals,none,4
13,0.5293888000305742,l,sfinxen,LF,4
14,0.4558516000397503,l,venkel,LF,4
15,0.4557111000176519,a,leumen,none,4
16,0.5095707000000402,a,help,HF,4
17,0.6698897000169381,l,jaat,none,4
18,1.0032107000006365,l,bezans,none,4
19,0.4919889000011608,l,grantel,none,4
20,0.5492687000660226,l,rogenten,none,4
21,0.5293404000112787,a,zag,HF,4
22,0.560065200086683,a,metrum,LF,4
23,0.5891746999695897,l,gebeikt,none,4
24,0.4756127001019194,a,doppel,none,4
25,0.5343444000463933,l,klavier,LF,4
26,0.3763641000259667,a,monen,none,4
27,0.4607306999387219,a,rakot,none,4
28,0.6981833999743685,l,murselein,none,4
29,0.5151712000370026,l,grede,none,4
30,0.4963809000328183,l,flans,LF,4
31,0.6983791999518871,a,hield,HF,4
32,0.5220079999417067,a,schuiten,LF,4
33,0.4544559000059962,a,buidels,LF,4
34,0.5263266999972984,a,wrongel,LF,4
35,0.5299878000514582,a,idee,HF,4
36,0.5185876999748871,l,vebras,none,4
37,0.6707379000727087,l,lome,LF,4
38,0.4294666999485343,a,zolders,LF,4
39,0.4569436999736354,l,mijk,none,4
40,0.4763993000378832,l,women,none,4
41,0.4673687000758946,l,hormen,none,4
42,0.4039499000646174,a,gedaan,HF,4
43,0.345167399966158,a,udel,none,4
44,0.3937750000040978,a,ploe,none,4
45,0.5214591999538243,a,wachten,HF,4
46,0.5067219999618828,a,gardien,none,4
47,0.6746689999708906,a,bralat,none,4
48,0.58870969992131,a,kom,HF,4
49,0.4434870999539271,a,hard,HF,4
50,0.5705009999219328,a,plenk,none,4
51,0.3869675999740138,l,kwarp,none,4
52,0.3351028000470251,l,imams,LF,4
53,0.4761709000449627,l,stram,LF,4
54,0.2697005000663921,a,krijg,HF,4
55,0.3701922000618651,a,lekker,HF,4
56,0.3492818999802694,a,open,HF,4
57,0.2807153000030666,l,kuukt,none,4
