,id,condition,RT
0,76798,baseline,560.4321993640257
1,76798,condition_a,783.5672115580969
2,76798,condition_a,677.7128457252479
3,76798,baseline,385.8001348199318
4,76798,baseline,538.8650660649686
5,76798,baseline,143.90122730612583
6,76798,condition_b,248.20351600400184
7,76798,baseline,582.6824626238326
8,76798,baseline,286.7484869561149
9,76798,baseline,182.27590736089815
10,76798,condition_a,966.8843622730266
11,76798,baseline,469.2402611855638
12,76798,condition_b,396.620376240815
13,76798,condition_b,380.01048397873643
14,76798,baseline,822.0399656335251
15,76798,baseline,270.4103613963461
16,76798,condition_a,444.25087909465935
17,76798,baseline,788.5319297696693
18,76798,baseline,196.7964927579842
19,76798,baseline,368.99385192006633
20,76798,condition_b,733.592588272778
21,76798,condition_b,573.0631950947815
22,76798,baseline,135.54549143384355
23,76798,condition_b,205.90098360801196
24,76798,condition_a,410.6599773093466
25,76798,condition_b,400.23380771889674
26,76798,condition_a,358.99870985227057
27,76798,baseline,442.4936955338216
28,76798,condition_b,184.78862005407169
29,76798,condition_b,751.5084098273371
30,76798,condition_b,284.6706129425234
31,76798,baseline,325.6110905771221
32,76798,condition_a,274.66962520262894
33,76798,baseline,239.1560913300145
34,76798,condition_a,771.2954412447306
35,76798,baseline,321.7270740119444
36,76798,baseline,428.2881492464755
37,76798,condition_b,387.95267543449694
38,76798,condition_b,240.06110135635225
39,76798,condition_a,1068.3908414981995
40,76798,condition_b,282.2467933581694
41,76798,condition_b,152.99195729806382
42,76798,condition_a,608.6934511387664
43,76798,condition_a,492.3039376323605
44,76798,condition_a,453.4378977676035
45,76798,condition_b,308.6017870713169
46,76798,baseline,311.9709333474205
47,76798,condition_a,800.1389079804259
48,76798,condition_a,492.96774037294904
49,76798,condition_a,481.63270345087983
50,76798,baseline,280.7178809466353
51,76798,condition_b,164.98193262699175
52,76798,baseline,158.38678358032675
53,76798,condition_a,1115.963917069734
54,76798,condition_b,376.97185456770865
55,76798,baseline,1120.500199933521
56,76798,baseline,533.707810775748
57,76798,condition_a,364.69953583708
58,76798,condition_a,301.6379251349872
59,76798,condition_b,459.6603873841709
60,76798,baseline,697.1175244077375
61,76798,condition_b,167.2589758128314
62,76798,baseline,572.3416149643823
63,76798,baseline,337.4910517082906
64,76798,condition_b,184.06188643110627
65,76798,condition_a,674.9398792961314
66,76798,condition_a,970.0631231157993
67,76798,condition_a,398.28817502542813
68,76798,condition_b,698.1194684185848
69,76798,condition_a,957.3083043175037
70,76798,baseline,199.84879542192556
71,76798,baseline,233.9987381073731
72,76798,condition_a,851.0148756469712
73,76798,baseline,572.9838234289767
74,76798,condition_a,673.9243051921213
75,76798,baseline,390.1647318050432
76,76798,condition_b,325.2824178397526
77,76798,baseline,500.9651552807717
78,76798,baseline,336.2321144386934
79,76798,condition_a,371.91041444318085
80,76798,condition_b,214.3715116920045
81,76798,condition_a,938.9800624848332
82,76798,condition_a,350.93001720443414
83,76798,condition_b,165.2033089282339
84,76798,condition_a,1405.0172781368965
85,76798,condition_b,509.82871074278034
86,76798,condition_a,198.09685041759522
87,76798,baseline,464.53003765121775
88,76798,baseline,469.2424231959266
89,76798,condition_b,467.33986378421923
90,76798,condition_b,604.038652254064
91,76798,condition_a,1515.380852139356
92,76798,baseline,358.37419790245553
93,76798,condition_b,502.47688322148537
94,76798,condition_b,754.550098182209
95,76798,condition_a,815.519660244472
96,76798,condition_b,315.45231846047716
97,76798,condition_b,236.27971241864563
98,76798,condition_a,491.53481566397886
99,76798,condition_a,490.02106660725684
100,76798,condition_a,883.7628478373258
101,76798,baseline,560.7977084347756
102,76798,baseline,468.34654818913253
103,76798,condition_a,497.8892298292089
104,76798,condition_b,198.45435887586927
105,76798,condition_b,457.95082338995485
106,76798,condition_a,1241.488279686014
107,76798,condition_b,151.73696516454754
108,76798,condition_a,626.7980084723266
109,76798,condition_b,178.58453423994035
110,76798,condition_a,455.75095394323733
111,76798,condition_a,411.6421289612806
112,76798,condition_b,210.71686554683475
113,76798,condition_b,354.251769858272
114,76798,condition_a,784.5916123132729
115,76798,condition_b,286.3008524259998
116,76798,baseline,363.1768032374123
117,76798,condition_b,257.81327360031935
118,76798,baseline,617.9572113057386
119,76798,condition_b,344.67972054398706
