,id,condition,RT
0,30917,baseline,251.44646556783812
1,30917,condition_b,218.11789423421132
2,30917,condition_a,483.43068270132886
3,30917,baseline,224.96448144096044
4,30917,condition_b,178.6965159167669
5,30917,baseline,155.61061037044547
6,30917,condition_b,209.15921108301947
7,30917,baseline,261.1494051119823
8,30917,condition_b,480.61659585615143
9,30917,condition_a,430.1786895804631
10,30917,condition_b,226.15704500769758
11,30917,baseline,466.96611049761384
12,30917,baseline,290.47642545671306
13,30917,baseline,584.9631763841312
14,30917,baseline,607.3919555088241
15,30917,baseline,177.2546644810725
16,30917,condition_b,176.84188572553876
17,30917,condition_a,613.9209125512675
18,30917,baseline,319.8846695692612
19,30917,condition_b,325.33708148896727
20,30917,condition_a,299.36487423069167
21,30917,condition_a,763.9964151261162
22,30917,condition_a,572.3735384969535
23,30917,condition_a,282.5626751086417
24,30917,condition_b,172.0164355901774
25,30917,condition_b,191.41338975664797
26,30917,baseline,609.2094922587264
27,30917,condition_a,345.51399500484615
28,30917,condition_b,68.6539822775137
29,30917,condition_b,173.89742303975476
30,30917,baseline,632.4242403190444
31,30917,condition_a,585.7467177211452
32,30917,condition_b,377.81751089404406
33,30917,baseline,225.19995947753893
34,30917,condition_b,113.3417556642884
35,30917,condition_a,570.3340060207664
36,30917,condition_a,397.15340329770476
37,30917,baseline,375.66806799706205
38,30917,baseline,433.33390524852376
39,30917,condition_b,153.72176136499957
40,30917,condition_a,140.17140753581597
41,30917,condition_a,352.23989445771656
42,30917,condition_b,282.76418243321535
43,30917,condition_a,192.41307050501192
44,30917,condition_b,110.5486131679271
45,30917,baseline,220.42619131998688
46,30917,condition_b,420.39695588508664
47,30917,condition_a,405.4451094562291
48,30917,condition_b,328.5612895290366
49,30917,baseline,342.6233540531803
50,30917,condition_a,1024.5421365797813
51,30917,condition_b,243.94891467796157
52,30917,baseline,397.8410072206164
53,30917,condition_b,76.9568485917506
54,30917,baseline,386.30322816796036
55,30917,condition_a,513.1219861010626
56,30917,condition_a,465.67195612837287
57,30917,condition_b,234.00301439650752
58,30917,condition_a,640.3202639176034
59,30917,condition_a,309.2281103298787
60,30917,baseline,210.07117857719703
61,30917,condition_b,252.42736129690206
62,30917,condition_a,553.9864173848467
63,30917,baseline,540.3622701200186
64,30917,baseline,191.12511894431194
65,30917,baseline,353.3234546706426
66,30917,baseline,558.5507670719899
67,30917,condition_a,1110.662829082968
68,30917,condition_b,329.2864900182739
69,30917,condition_a,315.4046615773372
70,30917,condition_b,397.88578527549925
71,30917,baseline,478.5764078973908
72,30917,condition_b,255.18768566010164
73,30917,baseline,263.37843045351696
74,30917,condition_b,204.58438241544334
75,30917,condition_b,219.17671281189587
76,30917,baseline,163.16299733261735
77,30917,condition_a,466.51459821796294
78,30917,condition_a,899.8828287558443
79,30917,condition_a,265.8690170423936
80,30917,condition_b,240.92244899497703
81,30917,condition_a,287.2480102672953
82,30917,baseline,115.97386686162778
83,30917,condition_b,91.5361289371699
84,30917,condition_b,135.2435276486074
85,30917,baseline,764.0277395344327
86,30917,condition_a,567.9163453246674
87,30917,condition_a,630.8895461525155
88,30917,condition_a,542.6700977537402
89,30917,baseline,233.17647203645606
90,30917,baseline,562.8654931368377
91,30917,condition_b,128.55185629636648
92,30917,condition_b,149.30427937681847
93,30917,condition_b,67.02263787152629
94,30917,baseline,422.68564644888954
95,30917,baseline,205.01321022452754
96,30917,condition_a,254.11878209180074
97,30917,condition_a,393.81104381899627
98,30917,condition_b,284.90114690104605
99,30917,condition_a,447.8418542505176
100,30917,condition_b,121.887085452072
101,30917,baseline,300.4240948765357
102,30917,condition_b,175.3915253248025
103,30917,condition_a,257.68105369625164
104,30917,baseline,233.21474726518403
105,30917,condition_b,81.67777444475514
106,30917,condition_a,236.8585080087046
107,30917,condition_b,87.51956315433154
108,30917,condition_b,233.0328865204113
109,30917,condition_a,609.114998723301
110,30917,condition_a,514.6533708064795
111,30917,condition_a,902.8516535218679
112,30917,baseline,385.6678310347136
113,30917,condition_a,182.03733639210088
114,30917,baseline,182.01911726303805
115,30917,baseline,696.918512597029
116,30917,condition_a,385.1857907862222
117,30917,baseline,796.1564139874907
118,30917,baseline,494.5505615399296
119,30917,condition_b,328.60029943703717
